filename	bytes	url
D_WT_T_IGO_14361_4_S34_L002_R2_001.fastq.gz	2439083935	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161239/D_WT_T_IGO_14361_4_S34_L002_R2_001.fastq.gz
D_WT_T_IGO_14361_B_4_S34_L001_R1_001.fastq.gz	370350784	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161243/D_WT_T_IGO_14361_B_4_S34_L001_R1_001.fastq.gz
D_WT_T_IGO_14361_B_4_S34_L001_R2_001.fastq.gz	812045286	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161243/D_WT_T_IGO_14361_B_4_S34_L001_R2_001.fastq.gz
D_WT_T_IGO_14361_B_4_S34_L002_R1_001.fastq.gz	369570362	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161244/D_WT_T_IGO_14361_B_4_S34_L002_R1_001.fastq.gz
D_WT_T_IGO_14361_B_4_S34_L002_R2_001.fastq.gz	812644674	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161244/D_WT_T_IGO_14361_B_4_S34_L002_R2_001.fastq.gz
D_WT_T_IGO_14361_B_4_S5_L001_R1_001.fastq.gz	3145057231	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161240/D_WT_T_IGO_14361_B_4_S5_L001_R1_001.fastq.gz
D_WT_T_IGO_14361_B_4_S5_L001_R2_001.fastq.gz	6843856172	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161240/D_WT_T_IGO_14361_B_4_S5_L001_R2_001.fastq.gz
D_WT_T_IGO_14361_B_4_S5_L002_R1_001.fastq.gz	3159104215	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161241/D_WT_T_IGO_14361_B_4_S5_L002_R1_001.fastq.gz
D_WT_T_IGO_14361_B_4_S5_L002_R2_001.fastq.gz	6871395910	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161241/D_WT_T_IGO_14361_B_4_S5_L002_R2_001.fastq.gz
D_WT_T_IGO_14361_B_4_S5_L003_R1_001.fastq.gz	3156318726	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161242/D_WT_T_IGO_14361_B_4_S5_L003_R1_001.fastq.gz
D_WT_T_IGO_14361_B_4_S5_L003_R2_001.fastq.gz	6849937826	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161242/D_WT_T_IGO_14361_B_4_S5_L003_R2_001.fastq.gz
E_WT_1_T_IGO_14361_5_S14_L001_R1_001.fastq.gz	320324199	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161245/E_WT_1_T_IGO_14361_5_S14_L001_R1_001.fastq.gz
