priority	sample	condition	pair_name	r1_filename	r1_bytes	r1_url	r2_filename	r2_bytes	r2_url	combined_bytes
11	D	WT	D_WT_T_IGO_14361_B_4_S5_L003	D_WT_T_IGO_14361_B_4_S5_L003_R1_001.fastq.gz	3156318726	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161242/D_WT_T_IGO_14361_B_4_S5_L003_R1_001.fastq.gz	D_WT_T_IGO_14361_B_4_S5_L003_R2_001.fastq.gz	6849937826	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161242/D_WT_T_IGO_14361_B_4_S5_L003_R2_001.fastq.gz	10006256552
12	D	WT	D_WT_T_IGO_14361_B_4_S5_L001	D_WT_T_IGO_14361_B_4_S5_L001_R1_001.fastq.gz	3145057231	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161240/D_WT_T_IGO_14361_B_4_S5_L001_R1_001.fastq.gz	D_WT_T_IGO_14361_B_4_S5_L001_R2_001.fastq.gz	6843856172	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161240/D_WT_T_IGO_14361_B_4_S5_L001_R2_001.fastq.gz	9988913403
13	L_1	3DEC	L_3DEC_1_T_IGO_14361_B_12_S13_L001	L_3DEC_1_T_IGO_14361_B_12_S13_L001_R1_001.fastq.gz	3134714263	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161307/L_3DEC_1_T_IGO_14361_B_12_S13_L001_R1_001.fastq.gz	L_3DEC_1_T_IGO_14361_B_12_S13_L001_R2_001.fastq.gz	6774829373	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161307/L_3DEC_1_T_IGO_14361_B_12_S13_L001_R2_001.fastq.gz	9909543636
14	L_2	3DEC	L_3DEC_2_T_IGO_14361_B_13_S14_L003	L_3DEC_2_T_IGO_14361_B_13_S14_L003_R1_001.fastq.gz	2918033042	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161320/L_3DEC_2_T_IGO_14361_B_13_S14_L003_R1_001.fastq.gz	L_3DEC_2_T_IGO_14361_B_13_S14_L003_R2_001.fastq.gz	6447506353	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161320/L_3DEC_2_T_IGO_14361_B_13_S14_L003_R2_001.fastq.gz	9365539395
15	L_2	3DEC	L_3DEC_2_T_IGO_14361_B_13_S14_L002	L_3DEC_2_T_IGO_14361_B_13_S14_L002_R1_001.fastq.gz	2911366203	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161319/L_3DEC_2_T_IGO_14361_B_13_S14_L002_R1_001.fastq.gz	L_3DEC_2_T_IGO_14361_B_13_S14_L002_R2_001.fastq.gz	6438514836	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161319/L_3DEC_2_T_IGO_14361_B_13_S14_L002_R2_001.fastq.gz	9349881039
16	F	WT	F_WT_T_IGO_14361_B_6_S7_L002	F_WT_T_IGO_14361_B_6_S7_L002_R1_001.fastq.gz	2907292401	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161264/F_WT_T_IGO_14361_B_6_S7_L002_R1_001.fastq.gz	F_WT_T_IGO_14361_B_6_S7_L002_R2_001.fastq.gz	6392043051	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161264/F_WT_T_IGO_14361_B_6_S7_L002_R2_001.fastq.gz	9299335452
17	F	WT	F_WT_T_IGO_14361_B_6_S7_L003	F_WT_T_IGO_14361_B_6_S7_L003_R1_001.fastq.gz	2886498242	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161265/F_WT_T_IGO_14361_B_6_S7_L003_R1_001.fastq.gz	F_WT_T_IGO_14361_B_6_S7_L003_R2_001.fastq.gz	6328383484	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161265/F_WT_T_IGO_14361_B_6_S7_L003_R2_001.fastq.gz	9214881726
18	L_2	3DEC	L_3DEC_2_T_IGO_14361_B_13_S14_L001	L_3DEC_2_T_IGO_14361_B_13_S14_L001_R1_001.fastq.gz	2852171196	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161318/L_3DEC_2_T_IGO_14361_B_13_S14_L001_R1_001.fastq.gz	L_3DEC_2_T_IGO_14361_B_13_S14_L001_R2_001.fastq.gz	6308813440	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161318/L_3DEC_2_T_IGO_14361_B_13_S14_L001_R2_001.fastq.gz	9160984636
19	F	WT	F_WT_T_IGO_14361_B_6_S7_L001	F_WT_T_IGO_14361_B_6_S7_L001_R1_001.fastq.gz	2790193233	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161263/F_WT_T_IGO_14361_B_6_S7_L001_R1_001.fastq.gz	F_WT_T_IGO_14361_B_6_S7_L001_R2_001.fastq.gz	6132883652	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161263/F_WT_T_IGO_14361_B_6_S7_L001_R2_001.fastq.gz	8923076885
20	C	WT	C_WT_T_IGO_14361_B_3_S4_L002	C_WT_T_IGO_14361_B_3_S4_L002_R1_001.fastq.gz	2539222291	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161234/C_WT_T_IGO_14361_B_3_S4_L002_R1_001.fastq.gz	C_WT_T_IGO_14361_B_3_S4_L002_R2_001.fastq.gz	5627715080	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161234/C_WT_T_IGO_14361_B_3_S4_L002_R2_001.fastq.gz	8166937371
